Archetype Name,Scryfall Tagger Category,Exact Tagger Tag,Scryfall Search Syntax,Tag Description
Tokens (Go-Wide),Core Mechanic,repeatable-creature-tokens,otag:repeatable-creature-tokens,Repeatable creature-token generators — the engine of go-wide.
Tokens (Go-Wide),Core Mechanic,synergy-token,otag:synergy-token,Cards that explicitly care about tokens.
Tokens (Go-Wide),Core Mechanic,synergy-token-creature,otag:synergy-token-creature,Cards that care about creature tokens specifically.
Tokens (Go-Wide),Core Mechanic,token-doubler,otag:token-doubler,Parallel Lives / Anointed Procession style doublers.
Tokens (Go-Wide),Core Mechanic,convoke,otag:convoke,Tap creatures (often tokens) to help cast spells.
Tokens (Go-Wide),Payoff,anthem,otag:anthem,Team-wide +N/+N buffs that scale with board width.
Tokens (Go-Wide),Payoff,warlord,otag:warlord,P/T equal to creature count.
Tokens (Go-Wide),Payoff,overrun,otag:overrun,Finishers that grant trample and a large pump.
Tokens (Go-Wide),Payoff,tokenfall,otag:tokenfall,Triggers when tokens enter.
Tokens (Go-Wide),Enabler,young-pyromancer-ability,otag:young-pyromancer-ability,Cast-instant/sorcery → create a creature token.
Tokens (Go-Wide),Enabler,token-increaser,otag:token-increaser,Effects that increase the number of tokens created.
Tokens (Go-Wide),Win Condition,gives-haste,otag:gives-haste,Haste so freshly made tokens can attack.
Tokens (Go-Wide),Win Condition,gives-trample,otag:gives-trample,Trample to push wide boards through blockers.
Tokens (Go-Wide),Synergy,sacrifice-outlet,otag:sacrifice-outlet,Sac outlets convert excess tokens into value.
Tokens (Go-Wide),Synergy,death-trigger,otag:death-trigger,Death triggers turn traded tokens into advantage.
Tokens (Go-Wide),Synergy,affinity-for-tokens,otag:affinity-for-tokens,Affinity / cost reduction for tokens.
Combo,Core Mechanic,tutor,otag:tutor,Tutors assemble combo pieces.
Combo,Core Mechanic,ritual,otag:ritual,Mana rituals accelerate combos.
Combo,Core Mechanic,untapper,otag:untapper,Untappers enable infinite mana / activated-ability loops.
Combo,Core Mechanic,alternate-win-condition,otag:alternate-win-condition,Explicit alternate win conditions (often combo payoffs).
